/*
本文件为对所有语料中实体对的数量进行统计。最右侧数值表示同一个实体对出现的句子数量，建议采用基于远程监督的关系抽取方法学习语义关系
本数据集版权由csdn博主【华师数据学院·王嘉宁】所有，如若您的科研、毕设等中使用本数据集，请在您的科研成果或论文中引用该博文：https://blog.csdn.net/qq_36426650/article/details/87719204。
本数据集因主要爬取百度百科、互动百科和博客园，因此仅供科研使用，禁止任何形式的商业行为。
*/
[entity_pair_id] [entity1] [entity2] [sample_num]
1 有向图 无向图 60
2 有向图 顶点 60
3 无向边 顶点 5
4 无向图 有向边 7
5 顶点 入度 60
6 无向图 顶点 60
7 顶点 出度 60
8 入度 顶点 60
9 顶点 无向图 50
10 顶点 有向图 60
11 输入 输出 60
12 输出 输入 60
13 活动 程序 11
14 数据 程序 60
15 模拟退火算法 算法 60
16 正确性 算法 16
17 存储结构 数据 60
18 索引 排序 60
19 数据 索引 60
20 记录 数据 60
21 索引 记录 60
22 索引 数据 60
23 数据 指针 60
24 记录 检索 60
25 索引 存储结构 38
26 数据 记录 60
27 数据 排序 60
28 数据 检索 60
29 修改 索引 60
30 索引 关键字 60
31 关键字 索引 60
32 数据 删除 60
33 删除 索引 60
34 索引 删除 60
35 程序 索引 34
36 排序 索引 60
37 元素 特殊矩阵 8
38 程序 二维数组 12
39 字符 运算符 13
40 数据 字符 60
41 字符 编码 60
42 内存 字符 42
43 字符 输入 60
44 输出 字符 60
45 字符 数据结构 3
46 编码 字符 60
47 程序 字符 60
48 程序 内存 60
49 内存 数据 60
50 数据 内存 60
51 程序 数据 60
52 输入 内存 23
53 内存 程序 60
54 随机存取 内存 4
55 存储地址 编码 4
56 内存 输出 38
57 输出 数据 60
58 数据 元素 60
59 内存 活动 12
60 数据 输出 60
61 元素 数据 60
62 数据 深度 60
63 内存 修改 60
64 参数 内存 60
65 内存 参数 60
66 内存 文件 60
67 删除 文件 60
68 树形结构 递归 10
69 数据结构 左子树 4
70 右子树 子树 50
71 数据元素 数据结构 6
72 树形结构 前驱 2
73 叶子结点 结点 60
74 数据项 数据元素 8
75 度 结点 40
76 结点 叶子结点 60
77 结点 内部结点 44
78 结点 子树 60
79 双亲 结点 60
80 结点 双亲 60
81 祖先 结点 60
82 结点 祖先 60
83 子树 结点 60
84 根结点 结点 60
85 深度 结点 60
86 结点 孩子结点 60
87 孩子结点 右孩子 5
88 森林 集合 47
89 森林 数据结构 4
90 子树 森林 7
91 P问题 算法 9
92 排序 最小生成树 3
93 NP问题 旅行商问题 3
94 NP问题 算法 10
95 NP问题 P问题 5
96 算法 NP问题 14
97 NP问题 NPC问题 28
98 时间复杂度 算法 60
99 NPC问题 算法 15
100 算法 输入 60
101 时间复杂度 符号表 11
102 时间复杂度 输入 54
103 算法 常量 25
104 输入 算法 60
105 算法 频度 60
106 渐进时间复杂度 时间复杂度 41
107 频度 时间复杂度 26
108 算法 空间复杂度 60
109 空间复杂度 内存 27
110 数组 元素 60
111 算法 二叉树 58
112 递归 输出 38
113 输出 字符串 60
114 算法 时间复杂度 60
115 字符串 输入 60
116 输入 线性关系 10
117 元素 程序 60
118 确定性 时间复杂度 1
119 常量 参数 21
120 常量 算法 20
121 确定性 算法 40
