/*
本文件为人工标注的3676个实体对，所有已标注实体对关系的示例将对应于train_data.txt，共包含对应3676个包。
本数据集版权由csdn博主【华师数据学院·王嘉宁】所有，如若您的科研、毕设等中使用本数据集，请在您的科研成果或论文中引用该博文：https://blog.csdn.net/qq_36426650/article/details/87719204。
本数据集因主要爬取百度百科、互动百科和博客园，因此仅供科研使用，禁止任何形式的商业行为。
*/
[entity1] [entity2] [label]
有向图 无向图 反义
顺序文件 变量 无关
输出 关键路径 无关
顶点 有向图 无关
森林 路径 拥有
数据 指针 无关
P问题 KMP算法 包含
数据 记录 包含
数据 排序 被依赖
数据 检索 被依赖
邻接矩阵 邻接点 依赖
循环语句 递归 无关
索引 关键字 依赖
运算符 空类型 无关
数据 字符 包含
数据 迭代器 无关
内存 数据 包含
数据 内存 属于
程序 数据 无关
记录 入度 无关
并查集 顶点 无关
插入 链式存储结构 无关
程序 函数名 无关
内存 活动 无关
操作数 数据结构 属于
内存 修改 无关
询问 数据 无关
平衡因子 二叉排序树 属性
关键字 实值参数 无关
子树 结点 包含
深度 结点 依赖
森林 数据结构 属于
子树 森林 属性
NP问题 算法 属性
NP问题 P问题 反义
算法 NP问题 拥有
压栈 赋值 无关
中序遍历 输出 无关
算法 输入 拥有
栈顶 先序遍历 无关
表排序 排序 属于
双端队列 随机存取 拥有
插入 后进先出 无关
数组 元素 包含
删除 空指针 无关
逻辑结构 结构类型 属于
线索二叉树 祖先 无关
确定性 算法 属性
父结点 AC自动机 无关
插入 元素 依赖
插入 删除 反义
压栈 栈顶 依赖
活动 记录 无关
折半查找 存储结构 无关
进栈 元素 依赖
指针 栈顶 属性
归并排序 排序 属于
结点 哈希函数 无关
指针 元素 无关
快速排序 排序 属于
元素 排序 被依赖
深度 空表 无关
数组 空指针 拥有
字符串 空串 包含
根结点 字符 无关
结点 内存 无关
根结点 检索 无关
字符 结点 无关
内存 插入 无关
左子树 平衡因子 被依赖
时间复杂度 大O表示法 拥有
进栈 数组 无关
遍历 中序遍历 包含
后序遍历 右子树 无关
修改 元素 依赖
头结点 检索 无关
链表 程序 无关
空队列 指针 无关
压缩存储 结点 无关
简单路径 路径 属于
顶点 集合 无关
二叉树 索引 拥有
后继 遍历 无关
贪心法 动态规划法 无关
算法 指针域 无关
分治法 动态规划法 无关
形式参数 变量 属于
子集 变量 无关
函数名 参数 无关
形式参数 实值参数 被依赖
关键字 反向索引 被依赖
